Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
reactortornode,UA,66702,414,78.109.24.109,tornode.torreactor.ml,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2016-12-18,HOSTING-AS http://hosting.ua- UA,41665,109000,None
xshells,PL,54207,119,178.217.187.39,tor-exit.xshells.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-09-14,HOSTEAM-AS - PL,51290,164000,[2001:67c:2044:3226::2]:443
IPredator,LR,47034,121,197.231.221.211,exit1.ipredator.se,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha on Linux,0,0,2014-04-19,CYBERDYNE- LR,37560,196000,None
csailmitexit,US,42092,198,128.52.128.105,tor-exit.csail.mit.edu,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2013-10-02,MIT-GATEWAYS - Massachusetts Institute of Technology- US,3,78900,None
aurora,RO,42016,329,176.126.252.12,aurora.enn.lu,8080,21,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-09,ALISTAR-AS - RO,60118,97500,[2a02:59e0:0:7::12]:81
Onyx,NL,40113,42,192.42.115.102,onyx.ip-eend.nl,9004,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,189000,[2001:610:510:115:192:42:115:102]:9004
hviv104,NL,38568,630,192.42.116.16,tor-exit.hartvoorinternetvrijheid.nl,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.10 on Linux,0,0,2014-04-09,IP-EEND-AS IP-EEND BV- NL,1101,125000,None
Kali,DE,34659,153,84.16.241.100,kali.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-04,LEASEWEB-DE - DE,28753,20,None
legalize,DE,34099,1292,213.202.233.36,srv1035.dedi.server-hosting.expert,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-08-12,UNITEDCOLO-AS - DE,13301,41000,None
apx2,NL,33990,267,185.38.14.171,tor-exit.r2.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha-dev on Linux,0,0,2015-02-02,YISP-AS - NL,58073,73500,None
cry,NL,33582,42,192.42.115.101,cry.ip-eend.nl,9003,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,107000,[2001:610:510:115:192:42:115:101]:9003
dopper,NL,33426,42,192.42.113.102,freedom.ip-eend.nl,9001,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,157000,None
PrivacyRepublic0001,FR,33388,446,178.32.181.96,tor-exit-node.1.privacyrepublic.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-11-21,OVH - FR,16276,216000,None
chulak,RO,32925,329,176.126.252.11,chulak.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-09,ALISTAR-AS - RO,60118,52700,[2a02:59e0:0:7::11]:9003
orion,LU,32539,82,94.242.246.24,orion.enn.lu,8080,23,0,1,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-29,ROOT - LU,5577,121000,[2a01:608:ffff:ff07::1:24]:9004
quadhead,DE,32100,879,148.251.190.229,tor3.quadhead.de,9010,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-01-19,HETZNER-AS - DE,24940,127000,[2a01:4f8:211:c68::2]:9010
nastja,NL,31416,772,134.19.177.109,static.hosted-by.global-layer.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-12-06,GLOBALLAYER - NL,57172,155000,None
0x3d002,FR,30194,1259,91.121.23.100,0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.0-alpha-dev on Linux,0,0,2014-04-22,OVH - FR,16276,105000,None
amazonas,NL,29537,1817,77.247.181.163,lumumba.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.3-alpha on Linux,0,0,2014-02-13,NFORCE - NL,43350,48300,[2a00:1768:1001:21::32a3:201a]:443
